,0,1,2
0,2021-11-02T23:45:03.000Z,"close
@kwonbubs
·
Nov 3, 2021",aku udah ditinggal pergi sama mamah ku ke bali t____t sekarang tinggal berdua di rumah
1,2021-11-02T23:05:01.000Z,"@keyyandkay
·
Nov 3, 2021",Kalau ikut sih makin mantul. Apalagi kalau anton juga ngikut liburan bareng keluarga kecil viggo sambil ngevlog bahagia di Bali :') supaya jojo yang melaju ke sf wkwk
2,2021-11-02T19:26:41.000Z,"goldstarjulius
@goldstar41
·
Nov 3, 2021","Pada transportasi darat: 

1. Pelaku perjalanan jarak jauh yang menggunakan kendaraan bermotor perseorangan, kendaraan bermotor umum dan angkutan penyeberangan dari dan ke daerah di wilayah Pulau Jawa dan Pulau Bali yang ditetapkan melalui instruksi menteri dalam negeri sebagai"
3,2021-11-02T19:24:21.000Z,"goldstarjulius
@goldstar41
·
Nov 3, 2021",3. Untuk penerbangan antar bandara di luar wilayah Pulau Jawa dan Pulau Bali wajib menunjukkan surat keterangan hasil negatif rapid tes antigen yang sampelnya diambil dalam kurun waktu maksimal 1x24 jam sebelum keberangkatan atau surat keterangan hasil negatif tes RT-PCR yang
4,2021-11-02T19:20:50.000Z,"goldstarjulius
@goldstar41
·
Nov 3, 2021","2. Untuk penerbangan antar bandara di dalam wilayah jawa-bali, wajib menunjukkan surat keterangan hasil rapid test antigen yang sampelnya diambil dalam kurun waktu maksimal 1x24 jam sebelum keberangkatan (bagi pelaku perjalanan yang sudah divaksin dosis lengkap) atau surat"
5,2021-11-02T17:58:43.000Z,"blue
@bluerplink
·
Nov 3, 2021",sial skrg gw klo liat villa2 mewah di bali gt bawaannya bayangin ned sm nes liburan di situ WKWKWK
6,2021-11-02T17:29:31.000Z,"Calon Mahasiswa ETH
@pejuangkhilaf
·
Nov 3, 2021",Menurut gw sejauh ini masyarakat yg paling siap menerima acara internasional itu ya rakyat Bali. Udah terbiasa dengan turis asing. Beberapa kali ada acara internasional gini di luar Bali sering didemo yg akhirnya mengganggu acara. Jadi cari aman aja pilih Bali. Mungkin ya
7,2021-11-02T17:15:48.000Z,"Rajatrip.com
@raja_trip
·
Nov 3, 2021","Paket Liburan ke Bali, Kuala Lumpur, Singapore, Bangkok, Hong Kong mulai dari 1,7jt/orang !! Contact Us : BBM : 746826BB"
8,2021-11-02T16:59:42.000Z,"@keyyandkay
·
Nov 2, 2021","Di Bali banyak tempat wisata loh, yuk viggo biarkan MS INA yang melaju supaya kamu bisa lebih puas liburan "
9,2021-11-02T16:48:16.000Z,"Sarwo Sarwi Pedalangan Indonesia
@SPedalangan
·
Nov 2, 2021","Caffe dan restaurant sekitar Canggu Bali masih bisa survive selama pandemi. Ini dikarenakan banyak turis asing memilih stay wilayah Canggu dan tdk pulang ke negaranya. Sehingga Masih ada perputaran uang yg menggerakkan ekonomi Bali. 
@sandiuno"
10,2021-11-02T16:42:47.000Z,"BangunWicaksono Λdhi
@Bangun_Adhi182
·
Nov 2, 2021","diingetin archive instagram, tahun lalu dinas ke Bali, ada 3 momen langka:
1. naik pesawat
2. keluar pulau jawa
3. dinas luar"
